		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111100100   16   16   30   18   19   29   20   23 12.074698 0.147902 SUCCESS 134
111100110   27   23   24   26   24   22   19   28  2.519681 0.960807 SUCCESS 135
111101000   24   22   28   18   23   24   23   24  2.713641 0.951024 SUCCESS 136
111101010   23   32   15   31   21   12   30   25 16.466272 0.036172 SUCCESS 137
111101100   23   23   20   22   18   28   22   24  3.763541 0.877803 SUCCESS 138
111101110   35   27   14   25   25   36   27   26 15.757953 0.045979 SUCCESS 139
111110000   21   25   29   30   34   27   29   29  8.717798 0.366659 SUCCESS 140
111110010   13   15   25   21   25   24   21   22 10.506468 0.231261 SUCCESS 141
111110100   32   22   27   24   25   26   18   27  5.130530 0.743538 SUCCESS 142
111110110   25   27   29   23   17   31   20   23  6.349896 0.608101 SUCCESS 143
111111000   27   33   30   26   32   31   27   33 12.575154 0.127327 SUCCESS 144
111111010   30   33   25   23   21   27   21   28  6.377038 0.605077 SUCCESS 145
111111100   24   36   30   27   21   30   19   31 12.224967 0.141445 SUCCESS 146
111111110   27   35   28   23   28   32   26   25  8.802532 0.359227 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   34   15   17   22   24   31   23   28 12.696297 0.122735 SUCCESS   0
000000011   30   29   26   18   22   33   18   27  9.469145 0.304276 SUCCESS   1
000000101   30   26   25   18   15   26   24   21  7.534840 0.480173 SUCCESS   2
000000111   26   27   23   25   30   32   21   29  5.657466 0.685539 SUCCESS   3
000001001   27   24   28   33   32   30   33   29 11.786736 0.160976 SUCCESS   4
000001011   31   28   14   22   24   25   19   19  9.712092 0.285818 SUCCESS   5
000001101   24   26   28   16   30   30   17   36 14.333373 0.073479 SUCCESS   6
000001111   30   25   23   23   28   26   21   31  4.504297 0.809003 SUCCESS   7
000010001   17   25   29   22   18   25   30   23  6.637196 0.576233 SUCCESS   8
000010011   24   22   28   28   27   20   29   29  4.250096 0.833883 SUCCESS   9
000010101   31   20   36   27   20   25   17   20 12.628775 0.125277 SUCCESS  10
000010111   38   31   20   30   29   21   28   24 13.775986 0.087794 SUCCESS  11
000011001   20   24   15   25   22   28   25   24  5.399293 0.714170 SUCCESS  12
000011011   20   26   26   23   28   26   27   29  2.961884 0.936727 SUCCESS  13
000011101   16   25   26   31   22   30   28   27  7.368021 0.497496 SUCCESS  14
000011111   29   24   29   25   32   15   14   30 13.916987 0.083955 SUCCESS  15
000100011   23   20   28   23   24   29   31   18  6.019568 0.645040 SUCCESS  16
000100101   35   31   28   21   26   22   24   25  8.021395 0.431383 SUCCESS  17
000100111   27   20   23   26   22   26   25   29  2.562710 0.958742 SUCCESS  18
000101001   29   26   31   16   24   24   26   26  6.071203 0.639256 SUCCESS  19
000101011   22   20   22   28   17   25   18   23  6.008315 0.646300 SUCCESS  20
000101101   17   29   16   21   26   24   24   19  8.050523 0.428551 SUCCESS  21
000101111   31   24   21   29   27   20   30   26  5.783904 0.671423 SUCCESS  22
000110011   23   23   21   21   26   18   26   19  4.330858 0.826107 SUCCESS  23
000110101   22   31   25   29   30   23   25   26  4.538720 0.805547 SUCCESS  24
000110111   23   27   30   30   20   26   22   22  4.444057 0.815004 SUCCESS  25
000111001   26   26   27   28   23   34   17   29  8.258384 0.408646 SUCCESS  26
000111011   24   28   23   31   25   27   24   22  3.038011 0.931950 SUCCESS  27
000111101   19   23   19   20   23   31   21   24  5.797143 0.669943 SUCCESS  28
000111111   23   19   30   22   26   18   21   23  5.305954 0.724431 SUCCESS  29
001000011   23   26   26   22   34   23   26   21  5.130530 0.743538 SUCCESS  30
001000101   13   25   24   21   17   23   21   24  8.913744 0.349625 SUCCESS  31
